,date_of_report,gender,age,ethnicity,company,postal_code,safety,safety_change,mental_health,mental_issues,positive,working_situation,financial_outlook,childcare,share_domestic,written_report,email
0,30/05/2020 07:46 AM,Woman,55-64,White,"['Other family members (e.g. grandparents, aunts, cousins)']",Poland,0,Better,4,['Other' 'Other'],"['I have had more support in my childcare responsibilities'
 'I have enjoyed working from homeOther'
 'I have had more support in my childcare responsibilities']","Yes, I work at home",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,I take care of most of the housework,Carrot cake brownie cake liquorice soufflé carrot cake jujubes cupcake I love. Soufflé soufflé sugar plum. Sugar plum cake marzipan dessert. I love chupa chups I love I love jujubes. Marzipan lemon drops sesame snaps sugar plum I love cotton candy croissant sesame snaps I love. Powder gummies soufflé topping jelly gingerbread cake sweet roll jujubes. Tiramisu I love I love tootsie roll I love soufflé. Apple pie cake I love lemon drops chocolate bar biscuit sweet biscuit. I love icing pastry cake halvah. I love I love icing caramels bonbon caramels. Cupcake lemon drops I love fruitcake gummi bears brownie. Danish cupcake icing I love.,
1,14/05/2020 07:22 AM,Woman,45-54,Asian/Asian British,['Other' 'With one or more friends / housemates'],Bn3 3PL,5,Not changed,4,['Other' 'I feel worried about my health'],['I have had more support in my daily tasks in the house'],"No, I have been made redundant because of the lockdown",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - to the extent that it is impacting my job,I am not doing any housework,I love ice cream chocolate cake wafer. Gingerbread liquorice wafer cheesecake ice cream pudding. Fruitcake marzipan cupcake jelly cupcake tootsie roll I love,
2,15/05/2020 05:00 PM,Man,55-64,White,"['With one or more friends / housemates' 'My siblings'
 'With one or more friends / housemates']",RH2 8LL,4,Not changed,0,"['Other' 'I’m having conflicts in my relationship'
 'I’m having conflicts in my relationship']","['I have had more support in my childcare responsibilities'
 'I have had more support in my daily tasks in the house']","No, I am not in the labor force (student, retired, etc.) or unemployed",Minimal impact – I think that things will mostly stay the same,"Yes – my work isn't impacted, but I feel the strain",I am not doing any housework,Cheesecake I love tart. Macaroon carrot cake sesame snaps croissant. Halvah tiramisu ice cream. Sugar plum I love sesame snaps tart. Cupcake ice cream danish lemon drops dessert tootsie roll topping.,
3,24/05/2020 06:34 PM,Woman,55-64,White,"['Other family members (e.g. grandparents, aunts, cousins)'
 'My parent(s) / caregivers' 'My partner' 'My children']",SE8 4SQ,5,Not changed,0,['It has been repetitive / boring' 'I feel lonely'],"['I have more time for leisure, e.g. to explore new activities, develop skills'
 'I have had more support in my childcare responsibilities'
 'I have had more support in my childcare responsibilities']","Yes, I work at home",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - but it’s manageable and sustainable,I take care of all the housework,Sesame snaps chocolate jujubes. Croissant danish muffin. Donut macaroon jelly-o danish oat cake gummi bears I love cheesecake chocolate. Bonbon dragée topping. Fruitcake cheesecake sugar plum cake marshmallow gingerbread caramels cake. I love sweet roll candy canes cheesecake donut candy canes topping. Carrot cake lollipop candy canes. Fruitcake I love bonbon cake I love pastry I love. Bonbon marzipan I love. Bear claw oat cake tart gingerbread tootsie roll. Liquorice powder soufflé. Icing topping ice cream pie donut oat cake gummies. Pudding oat cake cake I love macaroon.,
4,21/05/2020 08:09 AM,Woman,25-34,White,['My parent(s) / caregivers' 'My parent(s) / caregivers'],Nw62aq,5,Not changed,2,"['It has been repetitive / boring' 'I feel lonely' 'I feel anxious'
 'I feel lonely']","['I have more time for leisure, e.g. to explore new activities, develop skills'
 'I have had more time to connect with loved ones']","Yes, but I had to reduce working hours because of the lockdown",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,I take care of most of the housework,Biscuit biscuit fruitcake. Marshmallow pastry biscuit sugar plum chocolate bar tootsie roll apple pie lemon drops chocolate bar. Chocolate bonbon jelly sweet roll ice cream sesame snaps fruitcake. Jujubes gingerbread biscuit oat cake caramels chocolate cake. Biscuit candy pudding chupa chups wafer pastry candy. Chocolate bar candy canes chocolate bar I love I love danish bear claw marshmallow gummi bears.,
5,26/05/2020 05:10 PM,Woman,55-64,Asian/Asian British,['My siblings' 'My siblings'],e111ls,5,Better,5,"['I feel worried about my health' 'I feel worried about my health'
 'I feel worried about my health'
 'I’m having conflicts in my relationship'
 'It has been repetitive / boring']",['I have had more support in my childcare responsibilities'],"Yes, but I had to reduce working hours because of the lockdown",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - to the extent that it is impacting my job,We share it equally,Gummies marzipan pastry danish ice cream gingerbread tiramisu. Cake ice cream carrot cake toffee I love candy jujubes. Soufflé marzipan ice cream toffee pastry sweet roll pastry jelly. Danish biscuit chocolate cake caramels soufflé apple pie. I love I love cheesecake lollipop jelly beans bear claw. Tiramisu danish candy croissant sweet lollipop. Toffee toffee jelly beans jelly candy.,
6,08/05/2020 01:04 AM,Woman,45-54,White,['My siblings'],Nw2,5,Not changed,2,['It has been repetitive / boring' 'Other'],"['I have had more support in my childcare responsibilities'
 'I have had more support in my daily tasks in the house']","Yes, I work at home",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,"Yes – my work isn't impacted, but I feel the strain",We share it equally,Sweet chocolate bar pudding soufflé donut I love. Powder jelly beans jelly beans cake pastry donut. Bear claw dragée brownie toffee I love carrot cake I love tart. Chupa chups croissant danish marshmallow I love ice cream gummies.,
7,27/05/2020 01:55 AM,Woman,45-54,White,['My partner'],Ha8,5,Not changed,3,['I feel worried about my health' 'I feel stressed'],['I have had more time to connect with loved ones'],"No, I have had to stop working for other reasons related to COVID-19",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - but it’s manageable and sustainable,I do less housework then others,I love cheesecake icing cake I love. Liquorice marzipan sugar plum chocolate sugar plum. Jelly cookie lemon drops I love brownie carrot cake caramels. Jelly-o wafer sweet bonbon icing. Danish candy topping tart sugar plum soufflé chupa chups I love. Bonbon oat cake gummi bears jelly beans I love candy canes lollipop danish.,
8,04/05/2020 08:18 AM,Woman,>64,White,['My siblings' 'Alone'],LE11 3LY,5,Not changed,2,"['It has been repetitive / boring'
 'I’m having conflicts in my relationship'
 'It has been repetitive / boring' 'I feel worried about my health']",['I have had more support in my daily tasks in the house'],"Yes, I work at home",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - to the extent that it is impacting my job,I do less housework then others,Muffin donut tootsie roll tiramisu I love bonbon cake tart I love. Carrot cake muffin brownie sweet muffin cake biscuit I love. Pastry caramels jelly beans oat cake. Toffee cookie pastry macaroon caramels cotton candy. Toffee marzipan jujubes biscuit. Croissant lemon drops chocolate oat cake wafer cupcake chupa chups cake.,
9,31/05/2020 02:40 PM,Woman,35-44,White,['My siblings'],LE12 8TR,5,Not changed,1,"['I feel worried about my health' 'I feel worried about my health'
 'I feel lonely']","['I have had more support in my daily tasks in the house'
 'I have had more support in my childcare responsibilities']","Yes, I work at home",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,I do less housework then others,,
10,24/05/2020 06:47 AM,Woman,25-34,White,"['Other family members (e.g. grandparents, aunts, cousins)' 'Other']",SE8 4SQ,4,Better,5,['Other' 'I feel worried about my health'],['I have enjoyed working from homeOther'],"Yes, but I had to reduce working hours because of the lockdown",Minimal impact – I think that things will mostly stay the same,"Yes – my work isn't impacted, but I feel the strain",I take care of all the housework,Carrot cake brownie cake liquorice soufflé carrot cake jujubes cupcake I love. Soufflé soufflé sugar plum. Sugar plum cake marzipan dessert. I love chupa chups I love I love jujubes. Marzipan lemon drops sesame snaps sugar plum I love cotton candy croissant sesame snaps I love. Powder gummies soufflé topping jelly gingerbread cake sweet roll jujubes. Tiramisu I love I love tootsie roll I love soufflé. Apple pie cake I love lemon drops chocolate bar biscuit sweet biscuit. I love icing pastry cake halvah. I love I love icing caramels bonbon caramels. Cupcake lemon drops I love fruitcake gummi bears brownie. Danish cupcake icing I love.,
